"indulo_keszlet","cikkszam","megnevezes","szin","osztaly","meret"
26,15237,"Pulóver","s.kék",1,"2XL"
27,15237,"Pulóver","s.kék",1,"3XL"
21,15237,"Pulóver","s.kék",1,"L"
29,15237,"Pulóver","s.kék",1,"M"
31,15237,"Pulóver","s.kék",1,"S"
24,15237,"Pulóver","s.kék",1,"XL"
2,15237,"Pulóver","szürke",2,"2XL"
2,15237,"Pulóver","szürke",2,"XL"
2,15238,"Pulóver","beige",1,"2XL"
5,15238,"Pulóver","beige",1,"3XL"
25,15238,"Pulóver","s.kék",1,"2XL"
31,15238,"Pulóver","s.kék",1,"3XL"
18,15238,"Pulóver","s.kék",1,"L"
27,15238,"Pulóver","s.kék",1,"M"
25,15238,"Pulóver","s.kék",1,"S"
14,15238,"Pulóver","s.kék",1,"XL"
1,15238,"Pulóver","s.kék",2,"L"
1,15238,"Pulóver","s.kék",2,"M"
4,15238,"Pulóver","s.kék",2,"S"
1,15238,"Pulóver","s.kék",2,"XL"
2,15239,"Pulóver","fekete",1,"2XL"
1,15239,"Pulóver","fekete",1,"3XL"
9,15239,"Pulóver","fekete",1,"M"
26,15239,"Pulóver","s.kék",1,"2XL"
32,15239,"Pulóver","s.kék",1,"3XL"
22,15239,"Pulóver","s.kék",1,"L"
26,15239,"Pulóver","s.kék",1,"M"
30,15239,"Pulóver","s.kék",1,"S"
22,15239,"Pulóver","s.kék",1,"XL"
3,15239,"Pulóver","s.kék",2,"L"
3,15239,"Pulóver","s.kék",2,"S"
1,15239,"Pulóver","s.kék",2,"XL"
1,15240,"Mellény","fuxia (ciklámen)",1,"L"
5,15240,"Mellény","fuxia (ciklámen)",1,"M"
2,15240,"Mellény","fuxia (ciklámen)",1,"S"
5,15240,"Mellény","fuxia (ciklámen)",1,"XL"
2,15240,"Mellény","piros",1,"L"
3,15240,"Mellény","piros",1,"M"
4,15240,"Mellény","piros",1,"S"
4,15240,"Mellény","piros",1,"XL"
1,15240,"Mellény","s.kék",1,"L"
1,15240,"Mellény","s.kék",1,"XL"
1,15241,"Ruha","piros",2,"S"
2,15242,"Kardigán","fixia",1,"L"
1,15242,"Kardigán","fixia",1,"M"
1,15242,"Kardigán","fixia",1,"S"
2,15242,"Kardigán","fixia",1,"XL"
1,15242,"Kardigán","piros",1,"L"
3,15242,"Kardigán","piros",1,"M"
2,15242,"Kardigán","piros",1,"S"
3,15242,"Kardigán","piros",1,"XL"
11,15243,"Pulóver","k.kék",1,"2XL"
7,15243,"Pulóver","k.kék",1,"L"
7,15243,"Pulóver","k.kék",1,"M"
10,15243,"Pulóver","k.kék",1,"XL"
10,15243,"Pulóver","piros",1,"2XL"
10,15243,"Pulóver","piros",1,"3XL"
5,15243,"Pulóver","piros",1,"M"
7,15243,"Pulóver","piros",1,"XL"
1,15243,"Pulóver","piros",2,"2XL"
1,15243,"Pulóver","piros",2,"3XL"
8,15243,"Pulóver","piros",2,"M"
7,15243,"Pulóver","s.kék",1,"2XL"
11,15243,"Pulóver","s.kék",1,"3XL"
8,15243,"Pulóver","s.kék",1,"L"
5,15243,"Pulóver","s.kék",1,"M"
9,15243,"Pulóver","s.kék",1,"XL"
8,15244,"Pulóver","k.kék",1,"2XL"
6,15244,"Pulóver","k.kék",1,"3XL"
2,15244,"Pulóver","k.kék",1,"L"
8,15244,"Pulóver","k.kék",1,"M"
1,15244,"Pulóver","k.kék",1,"XL"
1,15244,"Pulóver","k.kék",2,"2XL"
1,15244,"Pulóver","k.kék",2,"3XL"
1,15244,"Pulóver","k.kék",2,"XL"
7,15244,"Pulóver","piros",1,"2XL"
11,15244,"Pulóver","piros",1,"3XL"
9,15244,"Pulóver","piros",1,"L"
8,15244,"Pulóver","piros",1,"M"
6,15244,"Pulóver","piros",1,"XL"
2,15244,"Pulóver","piros",2,"3XL"
2,15244,"Pulóver","piros",2,"XL"
5,15244,"Pulóver","s.kék",1,"2XL"
4,15244,"Pulóver","s.kék",1,"3XL"
5,15244,"Pulóver","s.kék",1,"L"
1,15244,"Pulóver","s.kék",2,"2XL"
12,15245,"Pulóver","k.kék",1,"2XL"
12,15245,"Pulóver","k.kék",1,"3XL"
11,15245,"Pulóver","k.kék",1,"L"
11,15245,"Pulóver","k.kék",1,"M"
9,15245,"Pulóver","k.kék",1,"XL"
1,15245,"Pulóver","k.kék",2,"M"
13,15245,"Pulóver","piros",1,"2XL"
11,15245,"Pulóver","piros",1,"3XL"
12,15245,"Pulóver","piros",1,"L"
6,15245,"Pulóver","piros",1,"XL"
11,15245,"Pulóver","s.kék",1,"2XL"
11,15245,"Pulóver","s.kék",1,"3XL"
7,15245,"Pulóver","s.kék",1,"L"
15,15245,"Pulóver","s.kék",2,"M"
2,15246,"Mellény","piros",2,"M"
1,15246,"Mellény","s.barna",2,"XL"
5,15247,"Pulóver","s.kék",1,"2XL"
3,15247,"Pulóver","s.kék",1,"L"
2,15247,"Pulóver","s.kék",1,"M"
1,15248,"Ruha","pink",1,"L"
2,15248,"Ruha","pink",1,"M"
4,15248,"Ruha","s.kék",2,"M"
6,15248,"Ruha","sárga",1,"L"
6,15248,"Ruha","sárga",1,"M"
1,15248,"Ruha","sárga",1,"S"
5,15248,"Ruha","sárga",1,"XL"
4,15249,"Kardigán","pink",1,"L"
4,15249,"Kardigán","pink",1,"M"
3,15249,"Kardigán","pink",1,"S"
6,15249,"Kardigán","pink",1,"XL"
3,15249,"Kardigán","s.kék",1,"L"
2,15249,"Kardigán","s.kék",1,"S"
3,15249,"Kardigán","s.kék",1,"XL"
